# IDEA-EQ (14366)  2026-04-17 09:15 -> 2026-04-17 15:15
# Strategy: init=0.1%  long=0.5%  short=10%
# Funds: 110000  Base: 100000
# Prev close: 9.52
  idx                   time       open       high        low      close     %chg    event  target_sell
--------------------------------------------------------------------------------------------------------------
   70 2026-04-17T10:25:00+05:30       9.65       9.66       9.64       9.66   +0.207          TP≥9.6882 SL≤8.676
   71 2026-04-17T10:26:00+05:30       9.65       9.66       9.65       9.66   +0.207          TP≥9.6882 SL≤8.676
   72 2026-04-17T10:27:00+05:30       9.65       9.68       9.65       9.68   +0.415          TP≥9.6882 SL≤8.676
   73 2026-04-17T10:28:00+05:30       9.68       9.68       9.67       9.67   +0.311          TP≥9.6882 SL≤8.676
   74 2026-04-17T10:29:00+05:30       9.67       9.68       9.67       9.67   +0.311          TP≥9.6882 SL≤8.676
   75 2026-04-17T10:30:00+05:30       9.67       9.67       9.66       9.67   +0.311          TP≥9.6882 SL≤8.676
   76 2026-04-17T10:31:00+05:30       9.67       9.67       9.65       9.65   +0.104          TP≥9.6882 SL≤8.676
   77 2026-04-17T10:32:00+05:30       9.66       9.66       9.65       9.65   +0.104          TP≥9.6882 SL≤8.676
   78 2026-04-17T10:33:00+05:30       9.66       9.66       9.65       9.66   +0.207          TP≥9.6882 SL≤8.676
   79 2026-04-17T10:34:00+05:30       9.66       9.66       9.65       9.65   +0.104          TP≥9.6882 SL≤8.676
   80 2026-04-17T10:35:00+05:30       9.65       9.66       9.65       9.66   +0.207          TP≥9.6882 SL≤8.676
   81 2026-04-17T10:36:00+05:30       9.65       9.66       9.64       9.65   +0.104          TP≥9.6882 SL≤8.676
   82 2026-04-17T10:37:00+05:30       9.65       9.65       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   83 2026-04-17T10:38:00+05:30       9.64       9.64       9.63       9.63   -0.104          TP≥9.6882 SL≤8.676
   84 2026-04-17T10:39:00+05:30       9.64       9.64       9.61       9.61   -0.311          TP≥9.6882 SL≤8.676
   85 2026-04-17T10:40:00+05:30       9.61       9.62       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
   86 2026-04-17T10:41:00+05:30       9.62       9.62       9.61       9.61   -0.311          TP≥9.6882 SL≤8.676
   87 2026-04-17T10:42:00+05:30       9.61       9.63       9.61       9.62   -0.207          TP≥9.6882 SL≤8.676
   88 2026-04-17T10:43:00+05:30       9.63       9.63       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
   89 2026-04-17T10:44:00+05:30       9.62       9.63       9.61       9.61   -0.311          TP≥9.6882 SL≤8.676
   90 2026-04-17T10:45:00+05:30       9.62       9.63       9.61       9.63   -0.104          TP≥9.6882 SL≤8.676
   91 2026-04-17T10:46:00+05:30       9.63       9.64       9.62       9.64   +0.000          TP≥9.6882 SL≤8.676
   92 2026-04-17T10:47:00+05:30       9.64       9.64       9.62       9.64   +0.000          TP≥9.6882 SL≤8.676
   93 2026-04-17T10:48:00+05:30       9.64       9.64       9.63       9.64   +0.000          TP≥9.6882 SL≤8.676
   94 2026-04-17T10:49:00+05:30       9.64       9.64       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
   95 2026-04-17T10:50:00+05:30       9.63       9.64       9.63       9.63   -0.104          TP≥9.6882 SL≤8.676
   96 2026-04-17T10:51:00+05:30       9.64       9.64       9.62       9.63   -0.104          TP≥9.6882 SL≤8.676
